項次,停車場名稱,經度(WGS84),緯度(WGS84)
54,捷運新埔站自行車停車區,121.4681,25.022326
55,捷運江子翠站機車停車區,121.472424,25.029496
56,捷運江子翠站自行車停車區,121.472477,25.029671
57,捷運江子翠站自行車停車區,121.472201,25.029996
58,捷運西門站自行車停車區,121.507853,25.042108
59,捷運西門站自行車停車區,121.50773,25.042444
60,捷運善導寺站自行車停車區,121.524322,25.044434
61,捷運善導寺站自行車停車區,121.52367,25.04449
62,捷運忠孝新生站自行車停車區,121.531904,25.042755
63,捷運忠孝新生站自行車停車區,121.532049,25.042303
64,捷運忠孝新生站自行車停車區,121.532553,25.040971
65,捷運忠孝新生站自行車停車區,121.53376,25.041919
66,捷運忠孝新生站自行車停車區,121.533457,25.042363
67,捷運忠孝復興站自行車停車區,121.543561,25.040137
68,捷運忠孝敦化站自行車停車區,121.550489,25.0416
69,捷運國父紀念館站自行車停車區,121.558126,25.041173
70,捷運國父紀念館站自行車停車區,121.558498,25.041173
71,捷運市政府站自行車停車區,121.565365,25.041299
72,捷運市政府站自行車停車區,121.567119,25.041263
73,捷運永春站自行車停車區,121.576496,25.040728
74,捷運後山埤站自行車停車區,121.582815,25.04528
75,捷運後山埤站自行車停車區,121.581804,25.044237
76,捷運昆陽站機車停車區,121.594531,25.050735
77,捷運昆陽站機車停車區,121.594968,25.050827
78,捷運昆陽站機踏車停車區,121.59404,25.050591
79,捷運昆陽站機踏車停車區,121.592353,25.050176
80,捷運昆陽站機車停車區,121.591098,25.049833
81,捷運昆陽站機車停車區,121.591758,25.050166
82,捷運南港站自行車停車區,121.606494,25.051945
83,捷運南港站機踏車停車區,121.607524,25.052042
84,捷運土城站自行車停車區,121.443998,24.972944
85,捷運土城站自行車停車區,121.443483,24.97219
86,捷運亞東醫院站機踏車停車區,121.452661,24.99905
87,捷運亞東醫院站機車停車區,121.452897,24.998612
88,捷運亞東醫院站自行車停車區,121.452296,24.997946
